_id,SITE_ID,DESCRIPTION,SITE_DISTANCE,LONGITUDE,LATITUDE,RSECT_ID,ROAD_NAME,TDIST_START,TDIST_END,GAZETTAL_DIRECTION,HOURS,MON,TUE,WED,THU,FRI,SAT,SUN,WEEKDAY_AVERAGE,WEEKEND_AVERAGE
102,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,5 to 6,310,327,340,315,285,98,42,318,70
103,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,6 to 7,376,396,380,361,378,163,90,378,127
104,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,7 to 8,443,445,426,409,422,173,188,429,181
105,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,8 to 9,414,434,419,403,447,245,259,423,252
106,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,9 to 10,438,480,431,445,466,343,292,450,318
107,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,10 to 11,481,487,472,468,500,354,313,481,334
108,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,11 to 12,479,492,470,504,515,319,341,490,330
109,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,12 to 13,508,540,493,487,362,324,299,479,311
110,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,13 to 14,560,533,496,561,387,327,295,506,311
111,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,14 to 15,616,488,532,405,491,256,278,509,267
